Samplingpoint,Pollutant,Start,End,Value,Unit,AggType,Validity,Verification,ResultTime,DataCapture,FkObservationLog,station_id
IT/SPO.IT1037A_5_nephelometry_beta_2006-01-14_00:00:00,5,2013-01-01,2013-01-02,46.0,ug.m-3,day,1,1,2015-04-28 16:31:59,,bd61d09c-e2b1-4f22-8080-069b67678c66,IT1037A
IT/SPO.IT1037A_5_nephelometry_beta_2006-01-14_00:00:00,5,2013-01-02,2013-01-03,38.0,ug.m-3,day,1,1,2015-04-28 16:31:59,,bd61d09c-e2b1-4f22-8080-069b67678c66,IT1037A
IT/SPO.IT1037A_5_nephelometry_beta_2006-01-14_00:00:00,5,2013-01-03,2013-01-04,21.0,ug.m-3,day,1,1,2015-04-28 16:31:59,,bd61d09c-e2b1-4f22-8080-069b67678c66,IT1037A
IT/SPO.IT1037A_5_nephelometry_beta_2006-01-14_00:00:00,5,2013-01-04,2013-01-05,33.0,ug.m-3,day,1,1,2015-04-28 16:31:59,,bd61d09c-e2b1-4f22-8080-069b67678c66,IT1037A
IT/SPO.IT1037A_5_nephelometry_beta_2006-01-14_00:00:00,5,2013-01-05,2013-01-06,19.0,ug.m-3,day,1,1,2015-04-28 16:31:59,,bd61d09c-e2b1-4f22-8080-069b67678c66,IT1037A
IT/SPO.IT1037A_5_nephelometry_beta_2006-01-14_00:00:00,5,2013-01-06,2013-01-07,16.0,ug.m-3,day,1,1,2015-04-28 16:31:59,,bd61d09c-e2b1-4f22-8080-069b67678c66,IT1037A
IT/SPO.IT1037A_5_nephelometry_beta_2006-01-14_00:00:00,5,2013-01-07,2013-01-08,36.0,ug.m-3,day,1,1,2015-04-28 16:31:59,,bd61d09c-e2b1-4f22-8080-069b67678c66,IT1037A
IT/SPO.IT1037A_5_nephelometry_beta_2006-01-14_00:00:00,5,2013-01-08,2013-01-09,53.00000000000001,ug.m-3,day,1,1,2015-04-28 16:31:59,,bd61d09c-e2b1-4f22-8080-069b67678c66,IT1037A
IT/SPO.IT1037A_5_nephelometry_beta_2006-01-14_00:00:00,5,2013-01-09,2013-01-10,40.0,ug.m-3,day,1,1,2015-04-28 16:31:59,,bd61d09c-e2b1-4f22-8080-069b67678c66,IT1037A
IT/SPO.IT1037A_5_nephelometry_beta_2006-01-14_00:00:00,5,2013-01-10,2013-01-11,50.00000000000001,ug.m-3,day,1,1,2015-04-28 16:31:59,,bd61d09c-e2b1-4f22-8080-069b67678c66,IT1037A
IT/SPO.IT1037A_5_nephelometry_beta_2006-01-14_00:00:00,5,2013-01-11,2013-01-12,39.0,ug.m-3,day,1,1,2015-04-28 16:31:59,,bd61d09c-e2b1-4f22-8080-069b67678c66,IT1037A
IT/SPO.IT1037A_5_nephelometry_beta_2006-01-14_00:00:00,5,2013-01-12,2013-01-13,31.000000000000004,ug.m-3,day,1,1,2015-04-28 16:31:59,,bd61d09c-e2b1-4f22-8080-069b67678c66,IT1037A
IT/SPO.IT1037A_5_nephelometry_beta_2006-01-14_00:00:00,5,2013-01-13,2013-01-14,29.000000000000004,ug.m-3,day,1,1,2015-04-28 16:31:59,,bd61d09c-e2b1-4f22-8080-069b67678c66,IT1037A
IT/SPO.IT1037A_5_nephelometry_beta_2006-01-14_00:00:00,5,2013-01-14,2013-01-15,25.000000000000004,ug.m-3,day,1,1,2015-04-28 16:31:59,,bd61d09c-e2b1-4f22-8080-069b67678c66,IT1037A
IT/SPO.IT1037A_5_nephelometry_beta_2006-01-14_00:00:00,5,2013-01-15,2013-01-16,27.000000000000004,ug.m-3,day,1,1,2015-04-28 16:31:59,,bd61d09c-e2b1-4f22-8080-069b67678c66,IT1037A
IT/SPO.IT1037A_5_nephelometry_beta_2006-01-14_00:00:00,5,2013-01-16,2013-01-17,6.0,ug.m-3,day,1,1,2015-04-28 16:31:59,,bd61d09c-e2b1-4f22-8080-069b67678c66,IT1037A
IT/SPO.IT1037A_5_nephelometry_beta_2006-01-14_00:00:00,5,2013-01-17,2013-01-18,12.0,ug.m-3,day,1,1,2015-04-28 16:31:59,,bd61d09c-e2b1-4f22-8080-069b67678c66,IT1037A
IT/SPO.IT1037A_5_nephelometry_beta_2006-01-14_00:00:00,5,2013-01-18,2013-01-19,28.000000000000004,ug.m-3,day,1,1,2015-04-28 16:31:59,,bd61d09c-e2b1-4f22-8080-069b67678c66,IT1037A
IT/SPO.IT1037A_5_nephelometry_beta_2006-01-14_00:00:00,5,2013-01-19,2013-01-20,32.0,ug.m-3,day,1,1,2015-04-28 16:31:59,,bd61d09c-e2b1-4f22-8080-069b67678c66,IT1037A
