SAMPLINGPOINT_LOCALID,DATETIME_BEGIN,DATETIME_END,PROPERTY,VALUE_NUMERIC,UNIT,STATIONCLASSIFICATION,AREACLASSIFICATION,ALTITUDE,STATIONCODE,STATIONNAME,LONGITUDE,LATITUDE,MUNICIPALITY,CALCULATED
SPO.IT2301A_6001_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM2.5,13.9,Âµg/m3,background,urban,124.0,IT2301A,BRESCIA SAN POLO,10.256370000113122,45.50866999991065, Brescia Via San Polo,True
SPO.IT2301A_6001_BETA_2021-01-01_00:00:00,20231026000000,20231026000000,PM2.5,13.9,Âµg/m3,background,urban,124.0,IT2301A,BRESCIA SAN POLO,10.256370000113122,45.50866999991065, Brescia Via San Polo,True
SPO.IT2284A_6001_OPC-CMC_2019-01-01_00:00:00,20231026000000,20231026000000,PM2.5,9.1,Âµg/m3,industrial,suburban,583.0,IT2284A,AOSTA I maggio,7.321889999601491,45.73239999991657,Via I maggio,True
SPO.IT0460A_6001_BETA_2006-12-01_00:00:00,20231026000000,20231026000000,PM2.5,7.064286,Âµg/m3,traffic,urban,100.0,IT0460A,JESI,13.245000000387098,43.52694000016027,VIA DEL LAVORO - Jesi (AN),True
SPO.IT0459A_6001_BETA_2006-02-20_00:00:00,20231026000000,20231026000000,PM2.5,10.3625,Âµg/m3,background,suburban,15.0,IT0459A,CHIARAVALLE2,13.34194000005023,43.59888999985952,VIA GRANCETTA - Chiaravalle (AN),True
SPO.IT2221A_6001_LIGHT-SCAT_2020-01-28_00:00:00,20231026000000,20231026000000,PM2.5,4.863,Âµg/m3,industrial,urban,83.0,IT2221A,Tirrenopower Via Epomeo,14.205670000204073,40.84495000021116,via Epomeo - Napoli (NA),True
SPO.IT2155A_6001_BETA_2014-09-01_00:00:00,20231026000000,20231026000000,PM2.5,14.6,Âµg/m3,background,rural-nearcity,450.0,IT2155A,CENGIO - RIO PARASACCO,8.20603999973738,44.397030000245756,VIA MONTALDO - CENGIO (SV),True
SPO.IT2062A_6001_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM2.5,0.0,Âµg/m3,background,urban,207.0,IT2062A,DALMiNE - Via Verdi,9.614719999821206,45.643890000040585,Via Verdi - Dalmine (BG),True
SPO.IT2056A_6001_BETA_2012-01-01_00:00:00,20231026000000,20231026000000,PM2.5,6.89865,Âµg/m3,traffic,urban,33.0,IT2056A,CENCA1,9.115000000173476,39.23583300015611,via Cadello  CAGLIARI - Cagliari (CA),True
SPO.IT2007A_6001_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM2.5,4.881905,Âµg/m3,background,urban,323.0,IT2007A,ERBA- Via Battisti,9.222778000364663,45.809443999864506,Via Battisti - Erba (CO),True
SPO.IT1947A_6001_BETA_2012-01-01_00:00:00,20231026000000,20231026000000,PM2.5,4.283988,Âµg/m3,background,urban,56.0,IT1947A,CENSA3,9.008889000061771,39.06666700002628,VIA ROSSINI - Sarroch (CA),True
SPO.IT0692A_6001_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM2.5,16.48662,Âµg/m3,industrial,urban,87.0,IT0692A,SANNAZZARO,8.905559999739978,45.101669999828054,VIA ANTONA TRAVERSI 10 - Sannazzaro de' Burgondi (PV),True
SPO.IT0477A_6001_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM2.5,18.41615,Âµg/m3,traffic,urban,122.0,IT0477A,MILANO - V.LE MARCHE,9.191389000333311,45.4955559998796,VIALE MARCHE 71 - Milano (MI),True
SPO.IT0461A_6001_BETA_2005-11-01_00:00:00,20231026000000,20231026000000,PM2.5,4.383333,Âµg/m3,industrial,suburban,10.0,IT0461A,FALCONARA SCUOLA,13.387500000045366,43.6333300000698,VIA CAMPANELLA C/O SCUOLA ELEMENTARE - Falconara Marittima (AN),True
SPO.IT2001A_6001_BETA_2019-07-24_00:00:00,20231026000000,20231026000000,PM2.5,18.65,Âµg/m3,traffic,urban,283.0,IT2001A,Bra - Madonna Fiori,7.8430999996341715,44.70610000027631,"viale Madonna dei Fiori,55",True
SPO.IT1996A_6001_BETA_2014-02-05_00:00:00,20231026000000,20231026000000,PM2.5,2.3199,Âµg/m3,background,rural-nearcity,532.0,IT1996A,CENMA1,8.77305599981249,40.25638899976885,via Caria - Macomer (NU),True
SPO.IT1993A_6001_BETA_2012-01-01_00:00:00,20231026000000,20231026000000,PM2.5,6.623925,Âµg/m3,background,urban,15.0,IT1993A,CENMO1,9.136389000276088,39.26055600002213,via Sant'Angelo - Monserrato (CA),True
SPO.IT1856A_6001_BETA_2013-01-01_00:00:00,20231026000000,20231026000000,PM2.5,0.0,Âµg/m3,background,urban,673.0,IT1856A,AQ - Amiternum,13.383060000396805,42.36417000025051,Via Amiternum - L'Aquila (AQ),True
SPO.IT1796A_6001_TEOM_2006-02-20_00:00:00,20231026000000,20231026000000,PM2.5,7.146154,Âµg/m3,background,rural,110.0,IT1796A,Civitanova IPPODROMO S. MARONE,13.674719999635336,43.33555999967512,Via Asola - Civitanova Marche (MC),True
SPO.IT1739A_6001_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM2.5,13.8,Âµg/m3,background,urban,45.0,IT1739A,CREMONA VIA FATEBENEFRATELLI,10.045833000410855,45.14222200005792,via Fatebenefratelli  - Cremona (CR),True
SPO.IT1737A_6001_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM2.5,16.5,Âµg/m3,background,urban,70.0,IT1737A,BRESCIA VILLAGGIO SERENO,10.219444000266128,45.51527799979404,Traversa IV - Brescia (BS),True
SPO.IT1650A_6001_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM2.5,12.9,Âµg/m3,background,urban,212.0,IT1650A,SARONNO - SANTUARIO,9.024167000238384,45.62694399989338,VIA SANTUARIO - Saronno (VA),True
SPO.IT1593A_6001_BETA_2010-01-01_00:00:00,20231026000000,20231026000000,PM2.5,7.0,Âµg/m3,background,urban,10.0,IT1593A,GR-URSS,11.119169999606145,42.77861000026988,VIA URSS - Grosseto (GR),True
SPO.IT1536A_6001_BETA_2015-01-01_00:00:00,20231026000000,20231026000000,PM2.5,6.35,Âµg/m3,background,urban,6.0,IT1536A,MAGGIOLINA - LA SPEZIA,9.843940000004155,44.11603000026739,"INTERNO PARCO MAGGIOLINA, VIALE ITALIA - LA SPEZIA (SP)",True
SPO.IT1486A_6001_BETA_2016-03-09_22:00:00,20231026000000,20231026000000,PM2.5,3.6,Âµg/m3,background,urban,68.0,IT1486A,CE51 ISTITUTO MANZONI,14.344720000250744,41.08444000010625,VIA DE GASPERI - Caserta (CE),True
SPO.IT1877A_6001_BETA_2019-01-01_00:00:00,20231026000000,20231026000000,PM2.5,11.05263,Âµg/m3,background,urban,260.0,IT1877A,Torino - Rubino,7.625899999636856,45.04189999981362,via Edoardo Rubino c/o giardini Rubino,True
SPO.IT1876A_6001_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM2.5,1.9,Âµg/m3,background,suburban,273.0,IT1876A,CALUSCO,9.466666999555454,45.68333299976486,Via caduti sul lavoro - Calusco d'Adda (BG),True
SPO.IT1874A_6001_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM2.5,9.861905,Âµg/m3,background,urban,6.0,IT1874A,PARONA,8.754719999661441,45.28110999980102,Via della Miseria 3 - Parona (PV),True
SPO.IT1830A_6001_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM2.5,20.45,Âµg/m3,background,urban,91.0,IT1830A,Alessandria - Volta,8.623199999923134,44.92029999973801,"via Spalto Marengo, 38",True
SPO.IT1773A_6001_BETA_2006-10-01_00:00:00,20231026000000,20231026000000,PM2.5,2.7125,Âµg/m3,background,rural-regional,550.0,IT1773A,Genga -Parco Gola della Rossa,12.95221999961863,43.46806000030814,Piani di Rocchetta - Genga (AN),True
SPO.IT1696A_6001_nephelometry_beta_2008-02-16_00:00:00,20231026000000,20231026000000,PM2.5,9.492381,Âµg/m3,background,suburban,230.0,IT1696A,LS1 Laives,11.340139999780511,46.43482999971158,VIA GALIZIA - Laives (BZ),True
SPO.IT1694A_6001_BETA_2005-04-01_00:00:00,20231026000000,20231026000000,PM2.5,6.257143,Âµg/m3,traffic,urban,325.0,IT1694A,Fabriano,12.909439999763585,43.34389000017915,Viale Moccia - Fabriano (AN),True
SPO.IT1692A_6001_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM2.5,15.3,Âµg/m3,background,urban,122.0,IT1692A,MILANO PASCAL CITTï¿½ STUDI,9.235830000420053,45.47832999988908,via Pascal - Milano (MI),True
SPO.IT1588A_6001_BETA_2022-01-01_00:00:00,20231026000000,20231026000000,PM2.5,7.8,Âµg/m3,traffic,urban,388.0,IT1588A,VARESE - VIA COPELLI,8.820277999864233,45.81694400016833,"Via Copelli, 9 - Varese (VA)",True
SPO.IT1578A_6001_BETA_2005-04-15_00:00:00,20231026000000,20231026000000,PM2.5,0.0,Âµg/m3,background,suburban,20.0,IT1578A,VIA SCARPELLINI,12.918889999871414,43.893329999783504,VIA SCARPELLINI - Pesaro (PU),True
